"pos_palabras","pos_palabras_pos","pos_palabras_pol","pos_palabras_stf"
"acertado","a","0.708","0.149"
"admirable","a","0.906","0.125"
"admiración","n","0.45","0.331"
"admirar","v","0.75","0.177"
"afectivo","a","0.375","0.0"
"afecto","n","0.321","0.112"
"afectuoso","a","0.563","0.131"
"afición","n","0.5","0.425"
"afortunado","a","0.813","0.063"
"agradable","a","0.75","0.181"
"agradecido","a","0.5","0.125"
"alegrar","v","0.458","0.315"
"alegre","a","0.661","0.185"
"alentador","a","0.594","0.0"
"alentar","v","0.275","0.418"
"amable","a","0.688","0.165"
"amar","v","1.0","0.0"
"amistoso","a","0.708","0.125"
"amor","n","0.278","0.171"
"animado","a","0.494","0.276"
"animar","v","0.289","0.232"
"apacible","a","0.313","0.161"
"apasionado","a","0.469","0.12"
"apego","n","0.375","0.0"
"aprecio","n","0.344","0.161"
"aprobar","v","0.375","0.292"
"ardiente","a","0.313","0.213"
"atractivo","a","0.844","0.134"
"beneficio","n","0.396","0.351"
"benevolencia","n","0.438","0.277"
"benevolente","a","0.313","0.177"
"bien","a","0.833","0.144"
"bien","n","0.35","0.459"
"bienestar","n","0.531","0.258"
"bondad","n","0.25","0.267"
"bonito","a","0.75","0.217"
"buen","a","0.734","0.2"
"bueno","a","0.833","0.267"
"cariñoso","a","0.438","0.188"
"cautivado","a","0.438","0.0"
"cautivador","a","0.594","0.438"
"cercano","a","0.354","0.2"
"comodidad","n","0.406","0.298"
"compañerismo","n","0.25","0.191"
"competente","a","0.589","0.315"
"complacencia","n","0.688","0.177"
"complacer","v","0.475","0.326"
"complaciente","a","0.643","0.159"
"confianza","n","0.375","0.267"
"confortar","v","0.375","0.0"
"consolar","v","0.375","0.0"
"contentarse","v","0.375","0.177"
"contento","a","0.778","0.127"
"correcto","a","0.806","0.125"
"cortés","a","0.667","0.184"
"cuidadoso","a","0.521","0.102"
"cálido","a","0.411","0.257"
"cándido","a","0.35","0.306"
"cómodo","a","0.469","0.217"
"decente","a","0.571","0.2"
"deleitarse","v","0.475","0.143"
"diestro","a","0.625","0.331"
"disfrutar","v","0.536","0.225"
"divertido","a","0.653","0.132"
"divertir","v","0.281","0.239"
"divertirse","v","0.542","0.361"
"dulce","a","0.518","0.385"
"emotivo","a","0.313","0.051"
"encantado","a","0.417","0.129"
"encantador","a","0.833","0.083"
"entusiasmo","n","0.661","0.295"
"entusiasta","a","0.6","0.105"
"estima","n","0.521","0.188"
"estimulante","a","0.5","0.143"
"estimular","v","0.262","0.242"
"euforia","n","0.531","0.161"
"eufórico","a","0.344","0.329"
"excelente","a","0.75","0.088"
"excitante","a","0.425","0.137"
"experto","a","0.833","0.144"
"fascinación","n","0.438","0.354"
"fascinante","a","0.5","0.413"
"favorable","a","0.844","0.188"
"favorecer","v","0.268","0.254"
"felicidad","n","0.708","0.191"
"feliz","a","0.719","0.176"
"ferviente","a","0.5","0.12"
"fiable","a","0.75","0.088"
"firmeza","n","0.278","0.268"
"gozar","v","0.458","0.072"
"gracioso","a","0.625","0.112"
"gratificante","a","0.75","0.191"
"gustar","v","0.406","0.415"
"gusto","n","0.266","0.369"
"honorable","a","0.583","0.072"
"honrado","a","0.667","0.171"
"honrar","v","0.5","0.191"
"hábil","a","0.875","0.125"
"ideal","a","0.425","0.385"
"idóneo","a","0.7","0.154"
"interés","n","0.321","0.352"
"jovial","a","0.775","0.137"
"joya","n","0.458","0.191"
"jubiloso","a","0.563","0.088"
"justo","a","0.675","0.163"
"júbilo","n","0.542","0.26"
"magnífico","a","0.804","0.159"
"mañoso","a","0.563","0.258"
"minucioso","a","0.438","0.125"
"optimismo","n","0.458","0.331"
"optimista","a","0.781","0.157"
"placentero","a","0.875","0.177"
"plácido","a","0.25","0.177"
"positivo","a","0.594","0.258"
"preferencia","n","0.281","0.063"
"prometedor","a","0.875","0.102"
"provecho","n","0.328","0.313"
"reconfortante","a","0.375","0.063"
"recrear","v","0.313","0.421"
"recto","a","0.438","0.301"
"refrescar","v","0.25","0.2"
"regocijado","a","0.667","0.125"
"regocijar","v","0.875","0.177"
"regocijarse","v","0.313","0.088"
"regocijo","n","0.25","0.326"
"respetable","a","0.906","0.12"
"saludable","a","0.768","0.098"
"sano","a","0.8","0.112"
"satisfacer","v","0.578","0.236"
"satisfactorio","a","0.75","0.161"
"satisfecho","a","0.6","0.168"
"seductor","a","0.7","0.163"
"seguro","a","0.255","0.227"
"sereno","a","0.297","0.124"
"simpatía","n","0.354","0.292"
"simpático","a","0.653","0.289"
"solazar","v","0.375","0.0"
"sonriente","a","1.0","0.0"
"sosegado","a","0.292","0.144"
"superior","a","0.4","0.22"
"ternura","n","0.313","0.12"
"tierno","a","0.375","0.224"
"tranquilizar","v","0.333","0.144"
"tónico","a","0.375","0.368"
"utilidad","n","0.344","0.331"
"vigorizante","a","0.625","0.125"
"vigorizar","v","0.375","0.224"
"útil","a","0.563","0.131"
"abatir","v","-0.554","0.047"
"abochornado","a","-0.25","0.0"
"abochornar","v","-0.5","0.072"
"abominación","n","-0.425","0.056"
"aborrecer","v","-0.625","0.088"
"aborrecimiento","n","-0.425","0.056"
"acongojarse","v","-0.687","0.088"
"acosar","v","-0.304","0.061"
"aflicción","n","-0.606","0.109"
"afligido","a","-0.396","0.113"
"afligir","v","-0.675","0.04"
"afligirse","v","-0.687","0.088"
"agravar","v","-0.281","0.217"
"agresividad","n","-0.35","0.068"
"alarmar","v","-0.25","0.0"
"alboroto","n","-0.25","0.09"
"amargura","n","-0.5","0.125"
"angustia","n","-0.589","0.112"
"angustiado","a","-0.65","0.112"
"antipatía","n","-0.542","0.094"
"antipático","a","-0.333","0.105"
"apesadumbrado","a","-0.5","0.0"
"apocamiento","n","-0.406","0.188"
"apurarse","v","-0.35","0.088"
"arrepentido","a","-0.5","0.0"
"arriesgado","a","-0.25","0.142"
"asco","n","-0.357","0.072"
"asquear","v","-0.437","0.0"
"asqueroso","a","-0.575","0.143"
"atormentar","v","-0.391","0.129"
"atroz","a","-0.672","0.146"
"avergonzado","a","-0.25","0.0"
