n_foro,nombre_ponente,afiliacion_ponente,posicion_ponente
17,Adrián Fernández Bremauntz,Sociedad civil,En contra
2,Adrián Olvera Alvarado,CFE,A favor
18,Alberto de la Fuente Piñeirua,Asociación industrial,En contra
16,Alberto Montoya Martín del Campo,Gobierno,A favor
10,Aleida Alavez Ruiz,Diputada,
15,Aleida Alavez Ruiz,Diputada,
19,Aleida Alavez Ruiz,Diputada,
22 A,Aleida Alavez Ruiz,Diputada,
23,Aleida Alavez Ruiz,Diputada,
24,Aleida Alavez Ruiz,Diputada,
7,Aleida Alavez Ruiz,Diputada,
16,Alejandro Armenta Mier,MORENA,A favor
15,Alejandro Faya Rodríguez,Organo aútonomo,En contra
23,Alicia Sofía Landín Quirós,Periodista,En contra
17,Alma Georgina Martínez López,Sociedad civil,En contra
14,Almudena Otero de la Vega,CFE,A favor
19,Ana Lilia Moreno González,Sociedad civil,En contra
14,Ana López Mestre Martínez,Asociación industrial,En contra
1,Ángel Benjamín Robles Montoya,Diputada,
1,Armando Antonio Gómez Betancourt,Diputada,
19,Blanca María del Socorro Alcalá Ruiz,Diputada,
2,Blanca María del Socorro Alcalá Ruiz,Diputada,
21,Blanca María del Socorro Alcalá Ruiz,Diputada,
22 A,Blanca María del Socorro Alcalá Ruiz,Diputada,
23,Blanca María del Socorro Alcalá Ruiz,Diputada,
24,Blanca María del Socorro Alcalá Ruiz,Diputada,
7,Blanca María del Socorro Alcalá Ruiz,Diputada,
10,Carlos Alberto Puente Salas,Diputada,
2,Carlos Alberto Puente Salas,Diputada,
20,Carlos Alberto Puente Salas,Diputada,
23,Carlos Alberto Puente Salas,Diputada,
24,Carlos Alberto Puente Salas,Diputada,
7,Carlos Andrés Morales Mar,CFE,A favor
11,Carlos Aurelio Hernández González,Asociación industrial,En contra
1,Carlos de María y Campos Segura,Particular,En contra
13,Carlos Francisco Rodríguez Sámano,Asociación industrial,En contra
10,Carlos Guerrero de Lizardi,Academia,A favor
21,Carlos Guevara Vega,Gobierno,A favor
12,Carlos Hurtado López,Particular,En contra
7,Carlos Iriarte Mercado,Diputada,
22A,Carlos Manzo,Academia,En contra
22B,Carlos Manzo,Academia,En contra
8,Carlos Meza Viveros,Academia,A favor
10,Carlos Salazar Lomelín,Asociación industrial,En contra
26,César Garza Villarreal,Presidentea Municipal,
16,Claudia Selene Ávila Flores,Diputada,
20,Claudia Sheinbaum Pardo,Gobierno,A favor
20,Cuauhtémoc Ochoa Fernández,Diputada,
